"Status","Updated_At","Location","what_participant_group","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Applied_Research_current","changed_10yrs","percent_Fundamental_Research_past","percent_Use_inspired_Research_past","percent_Applied_Research_past","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other","Main_reason_change_Other_text","view_change_of_type","partnership_outside","partnership_change_10yrs","partnership_outside_before","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_internal","distriution_funding_11_15_government","distriution_funding_11_15_for_profit","distriution_funding_11_15_nongov","distriution_funding_11_15_other","distriution_funding_11_15_other_text","distriution_funding_6_10_internal","distriution_funding_6_10_government","distriution_funding_6_10_for_profit","distriution_funding_6_10_nongov","distriution_funding_6_10_other","distriution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","high_priority_comments","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","next_generation_Comments","field_research","PhD_Year","Country_work","gender","Country"
"Incomplete","5/10/16 18:54","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","",""
"Incomplete","5/10/16 22:04","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/10/16 22:17","British Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","","","","","","",NA,NA,NA,1,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/10/16 22:25","British Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","0%","0%","","","","","20%",NA,NA,NA,1,NA,"","","Strong partnership","Yes","Strong partnership",1,NA,NA,NA,NA,"","","3-Jan","9-Jul","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/10/16 23:38","British Columbia","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","No need for applications for this research type","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/11/16 19:34","British Columbia","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/16/16 18:04","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","50%","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/16/16 18:14","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","100%","10%","70%","Can't comment (new researcher)","100%","30%","50%",NA,NA,NA,1,NA,"","","Some partnership","Yes","Exclusive partnership",NA,NA,NA,1,NA,"","","9-Jul","6-Apr","3-Jan","3-Jan","6-Apr","9-Jul","10%","No need for applications for this research type","90%","40%","20%","0%","","","","","","","","","","","","","","","","","","","","",NA,1,NA,NA,"","","","","","","Medicine and Life Science","1996","Bosnia and Herzegovina","Female","Canada"
"Incomplete","5/19/16 22:38","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","60%","20%","70%","Yes","90%","20%","0%",NA,NA,1,NA,NA,"","","Strong partnership","Yes","No partnership",NA,NA,NA,1,NA,"","","13-15","13-15","13-15","13-15","9-Jul","0","40%","40%","30%","0%","30%","50%","Very important","Somewhat important","Quite important","Not very important","","","","","","","","","","","","","Decreased","Stayed the same","Increased considerably","",NA,NA,1,NA,"","Will increase considerably","Will increase considerably","Will increase considerably","","","Medicine and Life Science","2006","Brazil","Female","Canada"
"Incomplete","5/27/16 13:09","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","60%","30%","10%","Yes","90%","20%","0%",NA,NA,1,NA,NA,"","Slightly positive","Some partnership","No","Some partnership",NA,NA,NA,1,NA,"","Very positive","9-Jul","3-Jan","0","16+","6-Apr","0","30%","No need for applications for this research type","60%","0%","No need for applications for this research type","20%","Mandatory","Somewhat important","Quite important","Not very important","","","","","","","10%","New researcher (no funding in these years)","0%","0%","0%","","Increased considerably","Stayed the same","Decreased considerably","",1,1,NA,NA,"","Will increase considerably","Will increase slightly","Will increase slightly","","","Medicine and Life Science","2006","Canada","Female","Canada"
"Incomplete","5/20/16 0:57","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","20%","0%","80%","Yes","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/20/16 1:06","British Columbia","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/20/16 17:59","British Columbia","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/20/16 19:44","British Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","20%","20%","30%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,1,NA,"","","Will increase slightly","","","","Medicine and Life Science","2005","","","Canada"
"Incomplete","5/20/16 21:34","British Columbia","","20%","20%","10%","Yes","50%","50%","20%",NA,NA,NA,NA,NA,"","","Some partnership","Yes","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/20/16 22:06","British Columbia","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/20/16 22:18","British Columbia","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/26/16 7:34","Netherlands","","20%","40%","40%","Yes","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/26/16 7:45","Netherlands","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/26/16 8:30","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","20%","40%","40%","Yes","30%","30%","40%",NA,NA,1,NA,NA,"","Slightly positive","Some partnership","Yes","No partnership",1,NA,NA,NA,NA,"","Slightly negative","3-Jan","3-Jan","0","0","3-Jan","3-Jan","20%","20%","30%","10%","10%","10%","Very important","Very important","Quite important","Quite important","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/26/16 10:30","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/26/16 19:41","British Columbia","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/27/16 13:17","Netherlands","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/27/16 14:56","Netherlands","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/27/16 15:02","Netherlands","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/27/16 16:16","Netherlands","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/27/16 16:24","Netherlands","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/27/16 17:08","Netherlands","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/28/16 10:15","Netherlands","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/28/16 14:31","Netherlands","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/28/16 14:33","Netherlands","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/28/16 15:07","Oman","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Oman"
"Incomplete","5/28/16 15:12","Tunisia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Tunisia"
"Incomplete","5/28/16 15:15","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","50%","0%","50%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Strong partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/28/16 15:42","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","16+","","","12-Oct","","","70%","","","80%","","","Very important","Quite important","Quite important","Quite important","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/28/16 15:55","Germany","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","40%","30%","20%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","3-Jan","3-Jan","3-Jan","3-Jan","3-Jan","0","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Germany"
"Incomplete","5/28/16 16:34","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","",""
"Incomplete","5/28/16 16:34","Netherlands","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/28/16 16:36","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","100%","","","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","No partnership",1,NA,NA,1,NA,"","Slightly negative","12-Oct","3-Jan","0","3-Jan","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/28/16 16:58","India","Senior academic researcher with >10 years of experience applying for research grants","20%","40%","60%","Yes","10%","50%","40%",1,1,1,1,NA,"","Slightly positive","No partnership","No","",NA,NA,NA,NA,NA,"","","0","3-Jan","3-Jan","0","3-Jan","3-Jan","No need for applications for this research type","30%","30%","No need for applications for this research type","60%","60%","Somewhat important","Quite important","Not at all important","Not at all important","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","India"
"Incomplete","5/28/16 20:09","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","100%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/28/16 22:21","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","20%","40%","40%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Some partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/28/16 23:24","Jordan","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Jordan"
"Incomplete","5/29/16 1:07","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","60%","30%","10%","Yes","80%","20%","0%",NA,NA,1,NA,NA,"","Slightly negative","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Slightly negative","3-Jan","9-Jul","3-Jan","6-Apr","3-Jan","0","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/29/16 3:50","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","80%","","20%","Yes","100%","0%","0%",NA,NA,1,NA,NA,"","Slightly positive","Some partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","","3-Jan","3-Jan","0","0","80%","No need for applications for this research type","80%","80%","No need for applications for this research type","No need for applications for this research type","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/29/16 7:08","","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","",""
"Incomplete","5/29/16 9:10","Netherlands","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/29/16 9:49","","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","",""
"Incomplete","5/30/16 6:42","Sweden","Senior academic researcher with >10 years of experience applying for research grants","10%","60%","30%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","9-Jul","3-Jan","3-Jan","12-Oct","6-Apr","0%","30%","20%","10%","30%","20%","Mandatory","Very important","Quite important","Quite important","20%","80%","","","","","0%","100%","","","","","Stayed the same","Stayed the same","Stayed the same","",NA,1,1,NA,"","Can't comment","Will increase slightly","Will increase considerably","Will decrease slightly","","Social Science / Humanities","","","","Sweden"
"Incomplete","5/30/16 8:24","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","80%","20%","","Yes","40%","20%","40%",NA,1,1,NA,NA,"","Very positive","No partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Slightly positive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/30/16 8:26","Austria","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","90%","60%","30%","Yes","100%","10%","10%",1,NA,1,1,NA,"","Slightly positive","Strong partnership","Yes","No partnership",NA,NA,1,1,NA,"","Slightly positive","6-Apr","13-15","3-Jan","3-Jan","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Austria"
"Incomplete","5/30/16 8:27","Switzerland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","30%","10%","50%","Yes","70%","10%","20%",1,NA,1,NA,NA,"","Slightly positive","No partnership","No","",NA,NA,NA,NA,NA,"","","0","0","6-Apr","0","0","0","0%","0%","0%","0%","0%","0%","Can't comment","Can't comment","Can't comment","Can't comment","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Switzerland"
"Incomplete","5/30/16 8:25","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","40%","40%","20%","No","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 8:34","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","10%","10%","80%","Yes","50%","10%","40%",NA,1,NA,NA,NA,"","Slightly positive","Some partnership","Yes","Some partnership",NA,1,NA,NA,NA,"","Neutral","3-Jan","3-Jan","3-Jan","6-Apr","3-Jan","0","0%","0%","50%","30%","10%","20%","Very important","Somewhat important","Somewhat important","Quite important","0%","20%","80%","0%","0%","","30%","70%","New researcher (no funding in these years)","0%","0%","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/30/16 8:27","Italy","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 8:28","Italy","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 8:31","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","80%","10%","10%","Yes","100%","","",NA,1,1,NA,NA,"","Slightly positive","No partnership","No","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/30/16 8:30","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","20%","10%","70%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Some partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","France"
"Incomplete","5/30/16 8:30","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Belgium"
"Incomplete","5/30/16 8:30","Italy","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 8:34","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","50%","50%","0%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Netherlands"
"Incomplete","5/30/16 8:35","Cyprus","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Cyprus"
"Incomplete","5/30/16 8:40","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 8:41","Belgium","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Belgium"
"Incomplete","5/30/16 8:47","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Germany"
"Incomplete","5/30/16 8:53","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","70%","30%","0%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Some partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 9:11","Italy","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","70%","10%","20%","Yes","90%","0%","10%",NA,NA,1,NA,NA,"","Slightly negative","No partnership","Yes","Some partnership",NA,1,NA,NA,NA,"","Slightly negative","6-Apr","3-Jan","3-Jan","3-Jan","3-Jan","6-Apr","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 9:09","Austria","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Austria"
"Incomplete","5/30/16 9:11","Italy","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 9:15","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","100%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","3-Jan","0","0","70%","No need for applications for this research type","No need for applications for this research type","70%","No need for applications for this research type","No need for applications for this research type","Quite important","Very important","Somewhat important","Quite important","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 9:14","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","60%","0%","40%","Yes","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 9:22","","Senior academic researcher with >10 years of experience applying for research grants","60%","40%","","Yes","90%","10%","",NA,NA,1,NA,NA,"","Very negative","Some partnership","No","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","",""
"Incomplete","5/30/16 9:24","France","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","80%","10%","0%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Some partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","France"
"Incomplete","5/30/16 9:30","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","100%","0%","0%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 9:33","Italy","Senior academic researcher with >10 years of experience applying for research grants","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Italy"
"Incomplete","5/30/16 9:34","Washington","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","USA"
