"Location","Country","Country_work","gender","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation"
"Alberta","Canada","Canada","","Not very important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will stay the same","Will decrease slightly"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will increase considerably","Will stay the same","Will stay the same"
"Quebec","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will stay the same","Will increase slightly"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease slightly","","Will stay the same","Will stay the same"
"British Columbia","Canada","Canada","Male","Not very important",NA,1,NA,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Male","Somewhat important",1,NA,NA,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"Poland","Poland","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Can't comment","Will stay the same","Will stay the same"
"British Columbia","Canada","Canada","Male","Very important",NA,1,1,NA,"Will decrease considerably","Can't comment","Will increase considerably","Will decrease considerably"
"Alberta","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will increase considerably","Will stay the same"
"Newfoundland and Labrador","Canada","Chad","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Quebec","Canada","Canada","Female","Not at all important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will increase slightly"
"British Columbia","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Alberta","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease slightly","Will decrease considerably"
"Alberta","Canada","Canada","Male","Very important",NA,NA,NA,1,"Will stay the same","Will stay the same","Will increase considerably","Will increase slightly"
"British Columbia","Canada","","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Can't comment"
"Ontario","Canada","Canada","Male","Not at all important",NA,NA,NA,1,"Will decrease slightly","Will decrease slightly","Will stay the same","Will decrease considerably"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,NA,1,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"Alberta","Canada","Canada","Female","Very important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"Ontario","Canada","Canada","Male","Very important",NA,1,1,NA,"Will stay the same","Will stay the same","Will increase slightly","Will decrease slightly"
"Newfoundland and Labrador","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease considerably"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","","Will stay the same","Will increase slightly"
"Ontario","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Female","Somewhat important",NA,1,NA,NA,"Will increase slightly","Will stay the same","Will increase slightly","Can't comment"
"Alberta","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will decrease considerably"
"British Columbia","Canada","Canada","Male","Very important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will decrease slightly","Will decrease slightly"
"Uruguay","Uruguay","Uruguay","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will increase slightly"
"","","Canada","Male","Somewhat important",NA,NA,NA,NA,"Will increase slightly","Can't comment","Can't comment","Can't comment"
"Alberta","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease slightly"
"","","","Female","Can't comment",NA,NA,1,NA,"Will decrease slightly","Will decrease considerably","Will stay the same","Will decrease considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Can't comment","Can't comment","Will increase considerably"
"Manitoba","Canada","Canada","Male","Not at all important",NA,NA,1,NA,"Will stay the same","Can't comment","Will stay the same","Will stay the same"
"British Columbia","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will decrease slightly","Will increase slightly"
"British Columbia","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will stay the same"
"Ontario","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase slightly","Will decrease considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Can't comment","Will increase considerably","Will stay the same"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will increase considerably","Will decrease slightly"
"Alberta","Canada","Canada","Male","Not very important",NA,1,NA,NA,"Will stay the same","Will stay the same","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Female","Somewhat important",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"Alberta","Canada","Canada","Female","Can't comment",NA,NA,1,NA,"Will increase slightly","Will decrease slightly","Will increase considerably","Will stay the same"
"Nova Scotia","Canada","Canada","Female","Very important",1,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will stay the same"
"Ontario","Canada","Canada","Male","Not at all important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will increase slightly"
"Manitoba","Canada","","Male","Very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Can't comment","Can't comment"
"Ontario","Canada","Canada","Female","Somewhat important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will increase slightly","","Will increase considerably","Will decrease slightly"
"Alberta","Canada","Canada","Male","Somewhat important",NA,1,NA,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Male","Very important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will stay the same"
"Ontario","Canada","Canada","Female","Somewhat important",NA,1,NA,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,NA,1,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will decrease slightly"
"British Columbia","Canada","Canada","Female","Very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Nova Scotia","Canada","Canada","","Not at all important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase considerably","Will decrease considerably"
"Ontario","Canada","Canada","Other","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will stay the same"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,NA,1,"Will decrease considerably","Will stay the same","Will stay the same","Will decrease considerably"
"New Brunswick","Canada","Canada","Female","Very important",NA,NA,1,NA,"","","",""
"Alberta","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease considerably"
"Alberta","Canada","Canada","Male","Very important",NA,1,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"New Brunswick","Canada","Canada","Male","Not at all important",NA,1,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will decrease considerably"
"Alberta","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Can't comment","Will stay the same","Will increase slightly","Will stay the same"
"Ontario","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will decrease slightly","Will increase considerably","Will increase slightly","Will decrease considerably"
"Quebec","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly"
"Ontario","Canada","India","Female","Not at all important",NA,NA,NA,1,"Can't comment","Can't comment","Can't comment","Can't comment"
"British Columbia","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will decrease considerably","Can't comment","Will increase considerably","Will decrease considerably"
"Ontario","Canada","Canada","Female","Very important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Male","Very important",NA,NA,NA,NA,"Will increase slightly","Can't comment","Can't comment","Can't comment"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will increase slightly","Will decrease slightly"
"Alberta","Canada","Canada","Male","Very important",1,NA,NA,NA,"Will stay the same","Will stay the same","Can't comment","Can't comment"
"Ontario","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will stay the same"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease considerably"
"Ontario","Canada","","Male","Very important",NA,NA,1,NA,"Will decrease considerably","Can't comment","Will decrease considerably","Will decrease considerably"
"British Columbia","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will stay the same","","Will increase slightly","Will decrease considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will increase slightly","Will stay the same"
"Alberta","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase considerably","Will decrease considerably"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will increase slightly","Will stay the same"
"Alberta","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will increase slightly"
"Ontario","Canada","Canada","Male","Very important",NA,1,1,NA,"Will stay the same","Will increase considerably","Will increase considerably","Will decrease considerably"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Can't comment","Will stay the same","Will increase slightly"
"Quebec","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will increase slightly","Will stay the same"
"Vermont","USA","Canada","Female","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease considerably"
"Ontario","Canada","","","Not at all important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will increase slightly","Will decrease considerably"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will increase considerably","Will decrease considerably"
"Alberta","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Can't comment"
"Alberta","Canada","Canada","Male","Very important",NA,1,NA,NA,"Will increase slightly","Can't comment","Can't comment","Can't comment"
"Nova Scotia","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will decrease slightly","Will increase slightly"
"Alberta","Canada","Canada","Male","Not at all important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will increase considerably"
"Nevada","USA","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","","Will increase considerably","Will increase considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Can't comment","Can't comment",""
"Ontario","Canada","Canada","Female","Not at all important",NA,1,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly"
"Ontario","Canada","Canada","Female","Somewhat important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will increase considerably","Will increase considerably"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will decrease slightly"
"Quebec","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Can't comment","Will stay the same","Will increase slightly"
"Nevada","USA","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will stay the same","Will decrease slightly"
"Ontario","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease slightly"
"Alberta","Canada","United States","Male","Very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Quebec","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will increase considerably","Will decrease considerably"
"Alberta","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will increase considerably","Will decrease slightly"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Can't comment","Will stay the same","Will stay the same"
"Ontario","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly"
"France","France","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Can't comment","Can't comment","Will decrease slightly"
"Alberta","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease considerably"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will decrease slightly","Can't comment"
"Alberta","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will increase slightly","","","Will increase considerably"
"Alberta","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Ontario","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will decrease slightly","Will increase considerably"
"Ontario","Canada","","Male","Very important",1,NA,NA,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease considerably"
"Manitoba","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"Quebec","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Will decrease considerably"
"Manitoba","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will decrease slightly","Will stay the same"
"","","Canada","","Not very important",NA,NA,NA,1,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase considerably","Will decrease slightly"
"Ontario","Canada","Canada","Female","Can't comment",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Will decrease considerably"
"Ontario","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will increase slightly","Can't comment","Can't comment","Will increase slightly"
"Ontario","Canada","Canada","Female","Can't comment",NA,NA,1,NA,"Will increase slightly","Can't comment","Will decrease slightly","Can't comment"
"British Columbia","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Can't comment"
"New Brunswick","Canada","Canada","Male","Not at all important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase considerably","Will decrease considerably"
"Quebec","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will stay the same"
"Ontario","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will increase slightly","Will decrease slightly"
"Ontario","Canada","","Male","Very important",NA,NA,NA,1,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease slightly"
"Quebec","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"Alberta","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly"
"Ontario","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will increase considerably","Will decrease considerably"
"Alberta","Canada","Canada","Male","Very important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same",""
"New York","USA","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"Ontario","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease considerably"
"Japan","Japan","Canada","Male","Not very important",NA,1,NA,NA,"Will decrease considerably","Will increase slightly","Can't comment","Will decrease considerably"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will increase considerably","Can't comment"
"British Columbia","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will decrease considerably"
"Ontario","Canada","Canada","Male","Not at all important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly"
"Ontario","Canada","Canada","Male","Somewhat important",1,1,1,NA,"Will increase slightly","Will increase slightly","Will increase considerably","Will decrease slightly"
"Ontario","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will increase slightly","Will decrease considerably"
"","","Canada","Male","Somewhat important",NA,NA,NA,1,"Will increase slightly","Will stay the same","Will stay the same","Will decrease slightly"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Female","Somewhat important",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"British Columbia","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will decrease considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will stay the same"
"Ontario","Canada","Canada","Female","Somewhat important",1,NA,NA,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"","","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will decrease considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","","Will stay the same","Will decrease slightly"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Can't comment","Will stay the same","Can't comment"
"Quebec","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,NA,1,"Will increase slightly","Will increase considerably","Can't comment","Will increase slightly"
"Saskatchewan","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease considerably"
"Alberta","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase considerably","Will increase slightly","Will increase slightly","Will increase slightly"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Quebec","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"Ontario","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will stay the same"
"British Columbia","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"Prince Edward Island","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease considerably"
"British Columbia","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will stay the same"
"British Columbia","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly"
"British Columbia","Canada","Canada","Male","Somewhat important",NA,1,NA,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably",""
"Manitoba","Canada","","Male","Somewhat important",NA,NA,1,NA,"Will increase considerably","Will stay the same","Will stay the same","Will stay the same"
"Alberta","Canada","Canada","Male","Very important",NA,1,1,NA,"Can't comment","Will increase slightly","Will increase slightly","Will decrease considerably"
"France","France","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","","Will stay the same","Will decrease considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will decrease slightly"
"Ontario","Canada","Canada","Male","Very important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will stay the same"
"Alberta","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will increase slightly","Will decrease slightly"
"Alberta","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","","","Will decrease slightly"
"Alberta","Canada","Canada","Male","Very important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will increase considerably"
"British Columbia","Canada","Canada","Male","Somewhat important",1,1,1,NA,"Will increase slightly","Can't comment","Can't comment","Will decrease slightly"
"Quebec","Canada","","Male","Very important",NA,NA,1,NA,"Will increase slightly","","Will increase slightly","Will stay the same"
"United Kingdom","United Kingdom","Canada","Female","Not very important",NA,NA,1,NA,"Will increase slightly","","Will stay the same","Will decrease slightly"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will stay the same"
"British Columbia","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase considerably","Will stay the same"
"Ontario","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will stay the same","Will decrease slightly"
"Manitoba","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly"
"British Columbia","Canada","Canada","Female","Somewhat important",1,1,NA,NA,"Will increase slightly","Will stay the same","Will decrease slightly","Will decrease slightly"
"Ontario","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will decrease considerably"
"Newfoundland and Labrador","Canada","Canada","Male","Somewhat important",1,1,1,NA,"Will increase slightly","Will stay the same","Will decrease slightly","Will stay the same"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will decrease slightly","Will increase slightly"
"","","Canada","Other","Very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will stay the same","Will decrease considerably"
"British Columbia","Canada","Canada","Female","Not very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will increase slightly"
"Ontario","Canada","Canada","","Somewhat important",NA,NA,1,NA,"Will increase slightly","Can't comment","Can't comment","Will increase slightly"
"New York","USA","Canada","Male","Somewhat important",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Will decrease slightly"
"Greece","Greece","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","","Will stay the same","Will decrease considerably"
"Quebec","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease slightly"
"Alberta","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will increase slightly"
"British Columbia","Canada","Canada","Female","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly"
"British Columbia","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will increase considerably"
"Croatia","Croatia","Canada","Male","Somewhat important",NA,1,1,NA,"Will stay the same","Will stay the same","Will stay the same","Can't comment"
"","","Canada","Female","Somewhat important",NA,NA,NA,NA,"Will increase slightly","Can't comment","Can't comment","Will increase slightly"
"Prince Edward Island","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will stay the same","Can't comment","Can't comment","Will decrease slightly"
"Ontario","Canada","Canada","Female","Very important",NA,1,NA,NA,"Will decrease considerably","Will increase slightly","Will decrease considerably","Will decrease considerably"
"British Columbia","Canada","Canada","Female","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will stay the same","Will stay the same"
"","","Canada","Male","Very important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"Alberta","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Can't comment","Will increase considerably","Can't comment"
"Alberta","Canada","Canada","Male","Can't comment",NA,1,1,NA,"Will increase slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"","","Canada","Male","Very important",NA,1,1,NA,"Will increase considerably","Will increase slightly","Will increase slightly","Will increase slightly"
"British Columbia","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will decrease considerably"
"Alberta","Canada","Canada","Male","Somewhat important",1,1,NA,NA,"Will decrease considerably","Will increase slightly","Will decrease slightly","Will stay the same"
"Ontario","Canada","","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease considerably"
"Alberta","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will decrease slightly"
"Alberta","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"Korea","Korea","","Male","Very important",NA,1,1,NA,"Will stay the same","Will increase slightly","Can't comment","Will stay the same"
"Quebec","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Can't comment","Will stay the same","Will increase slightly","Will stay the same"
"Ontario","Canada","Canada","Male","Very important",1,NA,1,NA,"Will increase slightly","","Will stay the same","Will increase considerably"
"Ontario","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will increase considerably","Can't comment","Will decrease slightly","Can't comment"
"Switzerland","Switzerland","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Can't comment","Will increase slightly","Will increase slightly"
"","","Canada","Female","Somewhat important",1,1,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"Nova Scotia","Canada","Canada","Female","Somewhat important",NA,1,1,NA,"Will increase slightly","Will increase considerably","Will increase considerably","Will increase slightly"
"Alberta","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will stay the same","Will decrease slightly"
"","","Canada","Female","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
