"Location","nation","Country","gender","field_research","Country_work","PhD_Year","what_participant_group"
"New Zealand","New Zealand","New Zealand","Male","Social Science / Humanities","New Zealand","2012","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"New Zealand","New Zealand","New Zealand","Female","Medicine and Life Science","New Zealand","","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","New Zealand","New Zealand","Male","Physical Science (eg. math, physics, chemistry, computer science)","New Zealand","1999","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","New Zealand","New Zealand","Female","Natural Science","New Zealand","2001","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","New Zealand","New Zealand","Male","Physical Science (eg. math, physics, chemistry, computer science)","New Zealand","1990","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","New Zealand","New Zealand","Male","Social Science / Humanities","New Zealand","2010","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"New Zealand","New Zealand","New Zealand","Male","Engineering","New Zealand","1990","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","New Zealand","United Kingdom","Male","Natural Science","New Zealand","1984","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","New Zealand","New Zealand","Male","Physical Science (eg. math, physics, chemistry, computer science)","New Zealand","1986","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","New Zealand","New Zealand","Male","Natural Science","New Zealand","1967","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","New Zealand","New Zealand","Female","Interdisciplinary Science","New Zealand","2014","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"New Zealand","New Zealand","New Zealand","Male","Interdisciplinary Science","New Zealand","1977","Senior academic researcher with >10 years of experience applying for research grants"
"Germany","New Zealand","Germany","Male","Physical Science (eg. math, physics, chemistry, computer science)","New Zealand","1993","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","New Zealand","Italy","Male","Physical Science (eg. math, physics, chemistry, computer science)","New Zealand","1995","Senior academic researcher with >10 years of experience applying for research grants"
