type,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
nserc.per.researcher.fun,20373.6368,21169.08578,19586.94756,18013.56346,20533.89045,16423.72137,15008.22418,14798.77184,12897.60926,13187.501,13131.01489
nserc.per.researcher.applied,10253,10107,12945,12036,14492,12861,12441,11689,11521,11430,11178
ssh.per.reseracher.fun,8101.77569,7954.279274,6965.580135,6549.436054,6026.764319,5397.720331,5213.255002,5160.489483,5118.925323,5419.230162,5593.344347
ssh.per.researcher.applied,1497,3553,3221,1749,1695,1521,1628,1279,1210,1171,1129
