Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,panel
Austria,45.62 ,48.38 ,48.70 ,46.11 ,47.06 ,45.12 ,46.17 ,45.69 ,48.75 ,47.24 ,lu
Canada,49.34 ,51.15 ,49.19 ,49.46 ,48.52 ,46.95 ,48.96 ,47.09 ,45.66 ,45.39 ,lu
Denmark,59.53 ,,61.04 ,,62.14 ,61.09 ,61.16 ,59.90 ,57.88 ,57.88 ,lu
Finland,66.86 ,66.56 ,68.20 ,70.29 ,68.10 ,66.10 ,67.01 ,63.06 ,60.84 ,53.53 ,lu
Germany,67.57 ,68.29 ,68.12 ,67.27 ,66.08 ,65.52 ,65.59 ,66.07 ,65.44 ,65.84 ,lu
Israel,56.24 ,55.01 ,56.58 ,52.96 ,37.53 ,36.16 ,37.34 ,39.36 ,36.54 ,,lu
Japan,76.12 ,77.07 ,77.71 ,78.17 ,75.27 ,75.93 ,76.52 ,76.12 ,75.48 ,77.26 ,lu
Korea,74.96 ,75.45 ,73.65 ,72.88 ,71.08 ,71.80 ,73.71 ,74.73 ,75.68 ,75.33 ,lu
Sweden,63.91 ,,62.76 ,,59.54 ,,57.64 ,,60.96 ,,lu
Taiwan (Chinese Taipei),66.86 ,67.15 ,68.86 ,70.45 ,69.77 ,71.28 ,72.60 ,74.15 ,75.52 ,77.24 ,lu
US,63.31 ,64.28 ,64.88 ,63.52 ,57.90 ,56.93 ,58.52 ,59.35 ,60.85 ,,lu
OECD Average,62.21 ,63.19 ,63.44 ,62.64 ,58.95 ,58.61 ,59.89 ,60.09 ,60.59 ,60.92 ,lu
Austria,35.91 ,32.25 ,32.30 ,37.01 ,34.91 ,38.25 ,35.76 ,37.75 ,33.57 ,36.24 ,ll
Canada,31.79 ,31.10 ,31.97 ,34.02 ,34.55 ,35.18 ,34.03 ,34.27 ,34.65 ,34.62 ,ll
Denmark,27.58 ,,25.91 ,,26.14 ,28.22 ,28.15 ,29.17 ,30.39 ,30.39 ,ll
Finland,25.65 ,25.11 ,24.05 ,21.83 ,24.00 ,25.69 ,25.03 ,26.69 ,26.03 ,27.50 ,ll
Germany,28.38 ,27.53 ,27.51 ,28.40 ,29.82 ,30.37 ,29.89 ,29.21 ,29.10 ,28.85 ,ll
Israel,14.46 ,13.38 ,12.18 ,12.20 ,12.84 ,14.24 ,13.04 ,12.77 ,12.66 ,,ll
Japan,16.76 ,16.18 ,15.63 ,15.62 ,17.67 ,17.17 ,16.41 ,16.84 ,17.30 ,16.02 ,ll
Korea,23.02 ,23.07 ,24.80 ,25.41 ,27.40 ,26.75 ,24.90 ,23.85 ,22.83 ,22.96 ,ll
Sweden,24.41 ,,24.63 ,,26.99 ,,27.46 ,,28.27 ,,ll
Taiwan (Chinese Taipei),31.54 ,31.41 ,29.83 ,28.21 ,28.86 ,27.44 ,26.17 ,24.63 ,23.31 ,21.67 ,ll
US,30.79 ,29.86 ,29.17 ,30.39 ,32.66 ,32.61 ,31.09 ,29.76 ,27.75 ,,ll
OECD Average,29.64 ,28.84 ,28.49 ,29.26 ,31.22 ,31.13 ,29.74 ,29.22 ,28.35 ,27.83 ,ll
Canada,49.34 ,51.15 ,49.19 ,49.46 ,48.52 ,46.95 ,48.96 ,47.09 ,45.66 ,45.39 ,ru
France,51.93 ,52.33 ,52.27 ,50.82 ,52.27 ,53.50 ,55.04 ,55.33 ,55.03 ,,ru
Germany,67.57 ,68.29 ,68.12 ,67.27 ,66.08 ,65.52 ,65.59 ,66.07 ,65.44 ,65.84 ,ru
Italy,39.66 ,40.42 ,42.02 ,45.92 ,44.16 ,44.66 ,45.09 ,44.29 ,45.19 ,,ru
Japan,76.12 ,77.07 ,77.71 ,78.17 ,75.27 ,75.93 ,76.52 ,76.12 ,75.48 ,77.26 ,ru
Russia,30.00 ,28.81 ,29.45 ,28.69 ,26.59 ,25.51 ,27.68 ,27.23 ,28.16 ,27.07 ,ru
UK,42.06 ,45.20 ,45.95 ,45.42 ,44.54 ,44.05 ,45.86 ,45.61 ,46.21 ,46.48 ,ru
US,63.31 ,64.28 ,64.88 ,63.52 ,57.90 ,56.93 ,58.52 ,59.35 ,60.85 ,,ru
G8 Average,52.50 ,53.44 ,53.70 ,53.66 ,51.91 ,51.63 ,52.91 ,52.64 ,52.75 ,52.41 ,ru
Canada,31.79 ,31.10 ,31.97 ,34.02 ,34.55 ,35.18 ,34.03 ,34.27 ,34.65 ,34.62 ,rl
France,38.63 ,38.51 ,38.15 ,38.92 ,38.71 ,37.14 ,35.15 ,35.35 ,35.22 ,,rl
Germany,28.38 ,27.53 ,27.51 ,28.40 ,29.82 ,30.37 ,29.89 ,29.21 ,29.10 ,28.85 ,rl
Italy,50.68 ,46.97 ,44.27 ,42.00 ,42.15 ,41.56 ,41.90 ,42.55 ,41.44 ,,rl
Japan,16.76 ,16.18 ,15.63 ,15.62 ,17.67 ,17.17 ,16.41 ,16.84 ,17.30 ,16.02 ,rl
Russia,61.95 ,61.10 ,62.62 ,64.72 ,66.46 ,70.35 ,67.08 ,67.84 ,67.64 ,69.22 ,rl
UK,32.73 ,31.87 ,30.92 ,30.66 ,32.55 ,32.28 ,30.45 ,28.67 ,29.12 ,28.82 ,rl
US,30.79 ,29.86 ,29.17 ,30.39 ,32.66 ,32.61 ,31.09 ,29.76 ,27.75 ,,rl
G8 Average,36.46 ,35.39 ,35.03 ,35.59 ,36.82 ,37.08 ,35.75 ,35.56 ,35.28 ,35.51 ,rl
