Year,success_rate,funding_rate,millions_applied,millions_awarded
2003,41,33.8,187.99,63.536
2004,43,35.4,242.032,85.639
2005,40.1,28.9,282.158,81.637
2006,40.4,28.8,293.673,84.668
2007,33.2,22.2,295.759,65.577
2008,33.1,23.1,331.845,76.605
2009,32.7,22.2,354.862,78.773
2010,36.3,22,323.757,71.19
2011,37,22.5,331.112,74.584
