"Location","nation","id","Country","Country_work","gender","what_participant_group","field_research","total_research","percent_Applied_Research_current","percent_Applied_Research_past","percent_Fundamental_Research_past","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Use_inspired_Research_past","changed","majority_current","majority_past","app.use.fund.current","app.use.fund.past","curr_past.app","curr_past.use","curr_past.fund"
"Uruguay","Uruguay",2689,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,0,0,90,70,30,10,"Yes","fund.current","fund.past",70,90,0,20,-20
"Uruguay","Uruguay",2690,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,0,0,100,80,20,0,"Yes","fund.current","fund.past",80,100,0,20,-20
"","Uruguay",2692,"","Uruguay","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,30,70,20,60,10,10,"Yes","fund.current","app.past",60,-80,-40,0,40
"Uruguay","Uruguay",2693,"Uruguay","Uruguay","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science",100,20,0,70,0,80,30,"Yes","use.current","fund.past",-100,70,20,50,-70
"Uruguay","Uruguay",2695,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",100,20,0,80,20,60,20,"Yes","use.current","fund.past",-80,80,20,40,-60
"Uruguay","Uruguay",2698,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,0,30,10,80,20,60,"Yes","fund.current","use.past",80,-90,-30,-40,70
"Uruguay","Uruguay",2699,"Uruguay","Uruguay","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,40,50,50,60,0,0,"Yes","fund.current","fund.app.half.past",60,50,-10,0,10
"Uruguay","Uruguay",2701,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,40,20,60,20,40,20,"Yes","fund.current","fund.past",20,60,20,20,-40
"Uruguay","Uruguay",2705,"Uruguay","Uruguay","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",110,0,0,18.1818181818182,9.09090909090909,81.8181818181818,81.8181818181818,"Yes","use.current","use.past",-81.8181818181818,-81.8181818181818,0,0,-9.09090909090911
"Uruguay","Uruguay",2706,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",80,50,10,60,10,40,10,"Yes","app.current","fund.past",-90,60,40,30,-50
"Uruguay","Uruguay",2707,"Uruguay","Uruguay","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,80,100,0,20,0,0,"Yes","app.current","app.past",-80,-100,-20,0,20
"Uruguay","Uruguay",2710,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",190,0,0,47.3684210526316,52.6315789473684,0,52.6315789473684,"Yes","fund.current","use.past",52.6315789473684,-52.6315789473684,0,-52.6315789473684,5.26315789473681
"Uruguay","Uruguay",2711,"Uruguay","Uruguay","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,0,0,100,90,10,0,"Yes","fund.current","fund.past",90,100,0,10,-10
