Type,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,panel
Total Discovery Grant Award Expenditure,475.7732227,489.3346631,493.531951,480.3957884,477.2706721,459.2505794,439.5418683,436.620708,409.9134135,415.4498041,414.684083,top
Total Innovation Grant Award Expenditure,239.442024,233.6323656,326.1641413,320.9908597,336.8493751,359.6192757,364.3584336,344.8777118,366.1687121,360.0837608,353.020978,top
Average Discovery Award Value,44577.2173,43988.58556,43717.68804,42370.92248,42386.12515,41917.96874,41224.61238,40653.54009,39433.66855,39218.77799,38748,mid
Average Innovation Award Value,79232.46992,79738.34006,102955.9469,96018.66801,101399.8436,88554.2928,81293.62093,69350.09587,66794.50452,60793.74262,57299,mid
Discovery Grants Awarded,10673,11124,11289,11338,11260,10956,10662,10740,10395,10593,10702,bot
Innovation Grants Awarded,3022,2930,3168,3343,3322,4061,4482,4973,5482,5923,6161,bot
