type,2005,2006,2007,2008,2009,2010,2011,2012,2013
NSE,98.52224509,91.51165972,94.69007939,89.54077286,103.7528044,92.20077694,82.87951661,85.86576281,74.22349135
SSH,28.12428324,29.71579184,29.14712781,29.05801389,26.49539285,24.87182093,23.78954295,22.41649431,21.29113344
