Type,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,panel
Discovery Grants Success Rate,75.16178737,73.02891933,70.33453138,71.34536983,64.20018422,58.09411068,57.67362103,62.24489796,58.63965268,63.97574984,65.17885407,top
Innovation - Strategic Projects Success Rate,23.1,31.6,47.9,39.1,26.5,22.5,16.7,25.8,23.9,26.2,22.4,top
Discovery Grants Number of Awards,2439,2399,2544,2450,2091,1963,2018,2135,2026,2005,2059,mid
Innovation - Strategic Projects Number of Awards,90,136,147,153,123,123,71,81,75,78,74,mid
Discovery Grants Funding Rate,42.94359134,41.15093953,38.57455557,38.96911028,40.81958828,33.80216621,32.32771421,,,,,bot
Innovation - Strategic Projects Funding Rate,22.6,29.3,47,39.5,27.1,22.8,17,25.3,24.6,25.6,23,bot
