Type,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Core Open Operating Grant Success Rate (%),28.43982169,24.94553377,21.28916281,22.51034483,21.6576087,18.25181159,17.29939603,17.50054621,17.46620148,14.78938579,14.28038777
Core Open Operating Grant Approval Rate (%),53,47,42,44,48,36,32,33,29,25,26
