Type,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,panel
Standard Research Grant Success Rate (%),40.1,40.4,33.2,33.1,32.7,36.3,37,,,,,top
Connection Grant Success Rate (%),,,,,,,,80,81,64,,top
Insight Grant Success Rate (%),,,,,,,,27,21.1,23,23.4,top
Standard Research Grant Funding Rate (%),28.9,28.8,22.2,23.1,22.2,22,22.5,,,,,bot
Connection Grant Funding Rate (%),,,,,,,,76,74,59,,bot
Insight Grant Funding Rate (%),,,,,,,,25.9,21,22.6,19.7,bot
