,1991-1992,1992-1993,1993-1994,1994-1995,1995-1996,1996-1997,1997-1998,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015
Grants Awarded (n),7087,7219,7091,7041,7072,7141,7206,7287,7389,8224,7793,8233,8642,8683,9654,9985,10290,10467,10383,10189,10067,10160,9991,10101
Average Award Value (Current $),26538,27086,26337,26146,26025,26128,26275,28875,30610,29600,30561,31336,31612,31895,31186,30980,30456,30214,31114,31825,32714,33061,33696,33668
Average Award Value (Constant 2015 $),40694,40839,39011,38637,37535,37174,36762,40044,41762,39529,39436,39745,38959,38666,36920,35803,34440,33595,34474,34623,34462,34143,34657,33936
Total Discovery Grant Award Expenditure (Current $),188074407,195531669,186759097,184096271,184046418,186583166,189336818,210409656,226176814,243426358,238160641,257987622,273194447,276944278,301073085,309334909,313391852,316247358,323056781,324264967,329333113,335902411,336652773,340084533
Total Discovery Grant Award Expenditure (Constant 2015 $),288395992,294815969,276631432,272048588,265447519,265465564,264903619,291798886,308578529,325083665,307319764,327216461,336690813,335738404,356429862,357491442,354391144,351633626,357943510,352777921,346926869,346897580,346255745,342800863
