Type,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada Foundation for Innovation,517.348594,424.1339595,350.5556982,428.0789659,434.331749,514.5912072,464.559055,581.4287583,431.9807197,407.2269535,340,345
Canadian Institutes of Health Research,941.1719274,968.4584688,1096.900088,1064.082001,1060.345622,1075.963433,1027.086346,999.6856803,996.6412318,998.9156211,1002,1001
Natural Sciences and Engineering Research Council of Canada,893.817365,910.6745506,1007.564926,996.2565026,1009.378121,1020.478969,1010.231596,987.2928826,978.1277724,979.7638584,1004,1004
Social Sciences and Humanities Research Council of Canada,565.8870205,604.4197842,610.6454098,621.5484207,614.9339814,603.8015222,596.2367917,591.7560897,587.2880736,592.6966551,594,593
