Type,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada Foundation for Innovation,525.4925,431.9223,357.554,436.128,437.8248,520.0635,474.6042,590.4181,435.078,413.7768,344.624,345
Canadian Institutes of Health Research,955.9875,986.2422,1118.798,1084.0896,1068.8733,1087.4055,1049.295,1015.1416,1003.7871,1014.9822,1015.6272,1001
Natural Sciences and Engineering Research Council of Canada,907.8875,927.3972,1027.6794,1014.9888,1017.4959,1031.331,1032.0758,1002.5572,985.1409,995.5224,1017.6544,1004
Social Sciences and Humanities Research Council of Canada,574.795,615.5187,622.836,633.2352,619.8795,610.2225,609.1292,600.9051,591.4989,602.2296,602.0784,593
