Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,0.9,,,1.02,,1.18,1.14,1.16,,1.26,,1.46,,1.51,,1.58,,1.44,,1.48,,1.65,,1.73,,2,,2.25,,2.2,2.13,,
Canada,1.2,1.34,1.31,1.35,1.39,1.43,1.38,1.36,1.43,1.49,1.55,1.59,1.64,1.7,1.66,1.62,1.62,1.72,1.76,1.87,2.04,1.99,1.99,2.01,1.99,1.96,1.92,1.87,1.92,1.84,1.78,1.71,1.62
Israel,,,,,,,,,,,2.24,2.3,2.4,2.45,2.46,2.61,2.84,2.94,3.35,3.96,4.22,4.17,3.94,3.92,4.09,4.19,4.48,4.39,4.15,3.96,4.1,4.25,4.21
Netherlands,2.35,2.42,2.43,2.43,2.6,2.63,2.74,2.73,2.71,2.61,2.4,2.28,2.21,2.13,2.13,2.14,2.18,2.22,2.34,2.4,2.39,2.42,2.46,2.42,2.43,2.46,2.45,2.6,2.73,2.72,2.8,2.88,2.85
Poland,,,,,,,,,,0.86,0.72,0.74,0.74,0.68,0.62,0.64,0.64,0.66,0.68,0.64,0.62,0.56,0.54,0.56,0.57,0.55,0.56,0.6,0.67,0.72,0.75,0.89,0.87
UK,2.24,,2.06,,2.09,2.1,2.02,1.96,1.95,1.95,1.87,1.84,1.86,1.84,1.79,1.71,1.67,1.67,1.76,1.73,1.72,1.72,1.67,1.61,1.63,1.65,1.69,1.69,1.75,1.69,1.69,1.63,1.63
US,2.27,2.43,2.48,2.55,2.65,2.63,2.6,2.55,2.51,2.55,2.61,2.54,2.42,2.32,2.4,2.44,2.47,2.5,2.54,2.62,2.64,2.55,2.55,2.49,2.51,2.55,2.63,2.77,2.82,2.74,2.76,2.7,2.73
OECD Total,1.85,1.94,1.99,2.05,2.15,2.15,2.16,2.14,2.15,2.18,2.1,2.07,2.02,1.97,1.99,2.01,2.03,2.06,2.1,2.14,2.18,2.15,2.16,2.13,2.16,2.19,2.22,2.29,2.34,2.3,2.33,2.33,2.36
G7 Average,1.71625,1.856666667,1.921428571,1.82,2.06,1.95375,1.9625,1.9525,2.087142857,2.00625,2.08,1.96875,2.011428571,1.91125,1.972857143,1.9275,1.985714286,1.95,2.065714286,2.02375,2.147142857,2.0875,2.14,2.06625,2.137142857,2.14625,2.185714286,2.23375,2.287142857,2.23,2.2425,2.251428571,2.255714286
