Type,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,panel
Intramural R&D performed by all sectors (GERD),33174.23868,33605.97114,33967.71633,34191.8345,33382.60527,33241.72164,33534.63255,33777.60284,32884.01802,32079.20246,31604,left
Intramural R&D performed by the federal government,2857.84784,2884.573196,2863.248477,2889.810993,3060.266048,3271.407527,2790.514596,2638.633175,2814.045831,2622.783498,2679,right
