type,2005,2006,2007,2008,2009,2010,2011,2012,2013,sector,panel
Federal government,6710,6320,6640,6590,6850,6780,7070,6930,6620,Natural Sciences and Engineering,left
Business enterprise,84410,88230,94760,98390,93360,94530,99040,94000,89170,Natural Sciences and Engineering,left
Higher education,23720,23540,25700,27170,23430,28260,29920,29960,32010,Natural Sciences and Engineering,left
Federal government,380,430,460,730,810,1230,790,940,930,Social Sciences and Humanities,right
Higher education,19700,19990,21610,22270,23920,25720,26170,27550,28260,Social Sciences and Humanities,right
