type,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,panel
Intramural,744.6504935,663.3593807,704.5038709,638.226822,741.2447452,678.8687385,618.3586514,491.580975,616.0867883,696.5193685,550,598,left
Extramural,151.5345996,145.6154738,168.4929001,161.2245456,330.1807684,328.5550625,161.1735497,242.6922881,304.4435548,263.0847398,286,258,left
Personnel,3654,3684,3833,3989,4249,4114,3888,3485,3285,3315,3315,3315,right
