"Country","Country_work","gender","Location","what_participant_group","field_research","type.grant","number"
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Romania","","","Romania","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","4-6"
"United Kingdom","","","United Kingdom","","","external_pi_grant_11_15_fundamental","16+"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","1-3"
"Switzerland","","","Switzerland","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Quebec","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","external_pi_grant_11_15_fundamental","1-3"
"Brazil","","","Brazil","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","4-6"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Quebec","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","","","New Brunswick","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","1-3"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Finland","","","Finland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","","","external_pi_grant_11_15_fundamental","1-3"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","4-6"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","7-9"
"Israel","","","Israel","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"","","","","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Manitoba","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Quebec","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Male","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Saskatchewan","","","external_pi_grant_11_15_fundamental","0"
"USA","","","North Carolina","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","1-3"
"Canada","","","Ontario","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Alberta","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Manitoba","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Saskatchewan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"South Africa","","","South Africa","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","","","external_pi_grant_11_15_fundamental","0"
"","","","","","","external_pi_grant_11_15_fundamental","0"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","4-6"
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","1-3"
"Canada","","","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Manitoba","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Israel","","Male","Israel","","Interdisciplinary Science","external_pi_grant_11_15_fundamental","7-9"
"Canada","","","Ontario","","","external_pi_grant_11_15_fundamental","0"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"Canada","","","Nova Scotia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","1-3"
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","","","external_pi_grant_11_15_fundamental","0"
"","","","","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"Canada","","","Quebec","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","4-6"
"Israel","","","Israel","","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","4-6"
"Germany","","","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","1-3"
"Israel","","","Israel","","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","4-6"
"Israel","","","Israel","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Ireland","","","Ireland","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","4-6"
"Canada","","","Ontario","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"France","","","France","","","external_pi_grant_11_15_fundamental","0"
"Switzerland","","","Switzerland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","4-6"
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","1-3"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"USA","","","Pennsylvania","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"USA","","","Indiana","","","external_pi_grant_11_15_fundamental","0"
"France","","","France","","","external_pi_grant_11_15_fundamental","0"
"USA","","","Louisiana","","","external_pi_grant_11_15_fundamental","0"
"USA","","","Iowa","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"USA","","","Pennsylvania","","","external_pi_grant_11_15_fundamental","0"
"","","","","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"USA","","","New York","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Czech Republic","","","Czech Republic","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"USA","","","Minnesota","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","7-9"
"Canada","","","Manitoba","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","4-6"
"USA","","","Arizona","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_11_15_fundamental","0"
"USA","","","Massachusetts","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","1-3"
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"Singapore","","","Singapore","","","external_pi_grant_11_15_fundamental","0"
"USA","","","California","","","external_pi_grant_11_15_fundamental","0"
"USA","","","New York","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"Canada","","","Ontario","","","external_pi_grant_11_15_fundamental","0"
"USA","","","Colorado","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"USA","","","California","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"USA","","","Oregon","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_11_15_fundamental","0"
"USA","","","Virginia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_11_15_fundamental","0"
"USA","","","California","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"Canada","","","British Columbia","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Japan","","","Japan","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","1-3"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"USA","","","Illinois","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Uruguay","","","Uruguay","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","1-3"
"Ireland","","","Ireland","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"China","","","China","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"USA","","","Alabama","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","4-6"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"Canada","","","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"Delaware","","","Delaware","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","","","external_pi_grant_11_15_fundamental","0"
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Malaysia","","","Malaysia","","","external_pi_grant_11_15_fundamental","0"
"Australia","","","Australia","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_11_15_fundamental","0"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","4-6"
"Canada","","","Nova Scotia","","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"USA","","","California","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Quebec","","","external_pi_grant_11_15_fundamental","0"
"USA","","","Michigan","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Benin","","","Benin","","","external_pi_grant_11_15_fundamental","0"
"","","","","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"","","","","","","external_pi_grant_11_15_fundamental","0"
"","","","","","","external_pi_grant_11_15_fundamental","0"
"","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_11_15_fundamental","0"
"","","","","","","external_pi_grant_11_15_fundamental","0"
"USA","","","Arizona","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"Israel","","","Israel","","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"USA","","","Florida","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","7-9"
"Malaysia","","","Malaysia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Saskatchewan","","","external_pi_grant_11_15_fundamental","0"
"Brazil","","","Brazil","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"","","","","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","10-12"
"USA","","","District of Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","external_pi_grant_11_15_fundamental","0"
"Delaware","","","Delaware","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"USA","","","Hawaii","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Quebec","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Quebec","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","4-6"
"Pakistan","","","Pakistan","","","external_pi_grant_11_15_fundamental","0"
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Pakistan","","","Pakistan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","1-3"
"Israel","","","Israel","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_11_15_fundamental","0"
"USA","","","Colorado","","","external_pi_grant_11_15_fundamental","0"
"USA","","","Hawaii","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Quebec","","","external_pi_grant_11_15_fundamental","0"
"Bangladesh","","","Bangladesh","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_11_15_fundamental","0"
"Egypt","","","Egypt","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Ontario","","","external_pi_grant_11_15_fundamental","0"
"USA","","","Utah","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"USA","","","Florida","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_11_15_fundamental","0"
"USA","","","California","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Denmark","","","Denmark","","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","4-6"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","1-3"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Singapore","","","Singapore","","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","","","external_pi_grant_11_15_fundamental","0"
"Italy","","","Italy","","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"France","","","France","","","external_pi_grant_11_15_fundamental","0"
