Major departments and agencies,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada Foundation for Innovation,23,30,40,43,46,49,52,60,64,61,64,64,62,65,65,69,69
Canadian Institutes of Health Research,135,169,222,269,278,318,341,354,393,380,413,415,392,387,408,411,407
National Research Council Canada,2934,2507,2723,2965,3000,3654,3684,3833,3989,4249,4114,3888,3485,3285,3315,3315,3315
Natural Resources Canada,2435,1689,1845,1923,1656,1685,1435,1464,1411,1357,1247,1353,1343,1358,1321,1383,1415
Social Sciences and Humanities Research Council of Canada,66,77,90,98,101,125,127,129,139,158,148,175,162,170,170,182,182
