Major departments and agencies,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada Foundation for Innovation,0.156441301,0.218356503,0.286409852,0.31652558,0.335301407,0.321416858,0.343392987,0.383828045,0.393313668,0.353172765,0.374663388,0.377313996,0.380624962,0.419978032,0.422544367,0.44210931,0.446226476
Canadian Institutes of Health Research,0.918242416,1.230074969,1.589574681,1.980125138,2.026386763,2.085929813,2.251865548,2.264585466,2.41519174,2.200092635,2.417749678,2.446645443,2.406532015,2.50048459,2.652278489,2.633433716,2.632089504
National Research Council Canada,19.95646851,18.24732513,19.49735071,21.82554288,21.86748305,23.96851427,24.32807238,24.52021494,24.51450344,24.6005095,24.08383093,22.92182526,21.39480631,21.22504361,21.54976273,21.24046902,21.438272
Natural Resources Canada,16.56237247,12.29347114,13.21065445,14.15531837,12.07085065,11.0528042,9.476325695,9.365404299,8.671337266,7.856646596,7.300081958,7.976653696,8.244827798,8.774310267,8.587401677,8.861408342,9.150876285
Social Sciences and Humanities Research Council of Canada,0.448918514,0.560448359,0.644422168,0.721383879,0.736205263,0.819940964,0.838671333,0.825230297,0.854228122,0.914775359,0.866409086,1.031717958,0.99453619,1.098404083,1.105116037,1.166143397,1.177003169
