Expenditure,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
Total Expenditure on S&T (all sectors),9904,9775,10020,9941,10176,10176,11420,11508,10561,10197,10065,9397
Total Expenditure on R&D,6172,5967,6407,6267,6521,6326,7251,7419,6515,6428,6454,6007
Total Federal (intramural) Expenditure on S&T,5174.014681,5125.817884,5327.688725,5411.768869,5196,5291.621082,5734.518034,5803.649801,5378.117088,5070.314176,5125.233922,4795.571146
