Major departments and agencies,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016
Canadian Institutes of Health Research,687,749,795,838,970,957,957,996,982,974,975,992,987
National Research Council Canada,698,691,756,700,772,719,967,963,770,738,944,859,909
Natural Sciences and Engineering Research Council of Canada,638,706,755,788,891,896,911,944,964,962,957,980,977
Social Sciences and Humanities Research Council of Canada,402,444,478,523,540,559,555,558,569,576,575,592,592
