Funder,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Federal government sector,516,544,576,577,621,656,686,766,694,705,704,703
Provincial governments sector,260,255,238,239,243,249,264,272,271,281,249,237
Provincial research organizations sector,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Business enterprise sector (7),29,31,32,34,37,36,41,37,45,44,45,44
Higher education sector,1040,1135,1178,1169,1206,1262,1236,1265,1262,1717,1764,1753
Private non-profit sector (6),130,143,155,161,175,175,170,177,191,186,193,190
Foreign sector,0,0,NA,NA,0,NA,1,2,1,1,1,1
