Performing sector,Type of payment,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014
Business enterprise,"Total payments (x 1,000,000)",3,4,3,3,6,3,7,3,9,24,25
Higher education,"Total payments (x 1,000,000)",394,437,468,514,557,582,572,588,591,598,585
Other performers (3),"Total payments (x 1,000,000)",33,27,31,21,35,39,51,46,67,82,71
