Funder,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Federal government sector,2219,2150,2427,2415,2360,2298,2503,2611,2243,2115,2231,2065
Provincial governments sector,259,264,267,289,301,315,309,271,241,253,234,234
Provincial research organizations sector,27,27,24,23,57,37,32,34,30,33,29,29
Business enterprise sector (7),15925,16569,16583,17001,16756,16019,15770,15137,15657,15251,14443,14050
Higher education sector,7395,7965,8088,7961,8125,8388,8497,8573,8755,9154,8777,8720
Private non-profit sector (6),99,108,147,141,156,163,115,122,113,129,135,136
Foreign sector,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
