Performing sector,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016
Federal government (intramural),120,118,124,156,172,211,216,280,229,240,260,268,251
Business enterprise,4,4,3,3,6,3,7,3,9,24,25,8,8
Higher education,398,439,468,514,557,582,572,588,591,598,585,598,600
Canadian non-profit institutions,30,18,20,13,24,24,29,31,49,72,61,54,54
Provincial and municipal governments,4,2,1,1,4,6,11,6,5,1,1,1,0
Foreign performers,32,50,46,49,65,72,73,62,69,91,80,72,72
Other Canadian performers,14,9,10,7,7,9,11,10,13,10,9,10,9
