Type of science,Personnel category,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016
Natural sciences and engineering,Scientific and professional personnel,5330,5189,6057,5651,5952,5942,6158,6035,6320,6194,5890,5759,5735
Social sciences and humanities,Scientific and professional personnel,283,280,289,334,343,591,634,1081,643,791,781,905,797
