Sector,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015
Total Federal (intramural) expenditure on S&T,5174.014681,5125.817884,5327.688725,5411.768869,5196,5291.621082,5734.518034,5803.649801,5378.117088,5070.314176,5125.233922,4795.571146
Business enterprise,1174.012067,1071.115413,1107.107291,930.8572692,936,875.8412485,1062.931069,1150.385115,1010.192594,942.4647388,1102.704574,877.8753601
Higher education,2548.024264,2621.442828,2861.087615,2745.100151,2990,2950.911284,3055.066449,3188.702787,3012.968922,3078.535498,2854.058897,2799.112665
Canadian non-profit institutions,580.7913401,485.7765508,325.5574121,314.7577241,548,451.395105,512.2914773,453.0659112,423.5394639,442.0086566,449.5503124,399.9996601
Provincial and municipal governments,36.15821572,24.07000927,20.14850433,92.87932842,28,43.31083097,477.8765028,377.3952833,154.7726269,97.71678978,102.702877,125.66361
Foreign performers,325.4239415,391.6846964,324.4969645,310.6297539,445,535.1293782,543.7565969,512.4529862,551.4354071,546.1181335,410.8115079,376.9908301
Other Canadian performers,64.40682176,55.79865786,54.08282742,135.1910225,34,27.9114244,32.44840451,22.03068913,30.58381249,20.09130257,19.81985345,22.123875
