Performing sector,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016
Federal government (intramural),1964,1965,2289,2340,2360,2388,2546,2726,2420,2316,2476,2334,2428
Business enterprise,766,700,788,638,752,729,861,965,851,820,956,763,756
Higher education,1661,1734,1974,1864,2152,2188,2194,2395,2354,2491,2310,2308,2298
Canadian non-profit institutions,310,242,186,212,270,217,245,190,177,171,215,193,174
Provincial and municipal governments,18,13,9,45,11,8,437,360,116,58,58,57,56
Foreign performers,112,135,100,118,127,128,165,124,141,144,123,116,115
Other Canadian performers,29,24,23,112,13,8,6,4,6,3,6,7,6
