Major departments and agencies,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016
Canadian International Development Agency,62,85,58,71,51,48,91,40,37,45,,,
Canadian Space Agency,256,263,267,290,276,285,208,237,277,202,285,267,360
Environment Canada,264,209,253,214,240,270,266,264,238,121,125,133,131
Fisheries and Oceans Canada,71,74,77,85,75,12,13,12,11,11,12,12,12
"Foreign Affairs, Trade and Development Canada",,,,,,,,,,,33,31,31
Health Canada,103,56,49,49,80,73,85,87,70,61,53,49,51
International Development Research Centre,,,,,,,,,,217,,,
Statistics Canada,20,21,19,51,57,62,67,102,73,70,81,97,88
Other departments and agencies (2),389,639,663,475,563,591,667,640,708,560,719,613,607
