Type of science,Personnel category,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016
Natural sciences and engineering,Scientific and professional personnel,11113,11291,11933,11952,12309,12475,12884,12888,13167,13229,12852,12717,12680
Social sciences and humanities,Scientific and professional personnel,3710,3637,4003,4144,4110,4774,5012,7453,7322,6816,6494,6625,6373
