Major departments and agencies,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016
Intramural,2083,2084,2414,2496,2532,2599,2762,3007,2649,2555,2736,2602,2679
Extramural,3379,3371,3628,3577,3989,3974,4612,4738,4381,4483,4428,4186,4149
