Funder,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Federal government sector,136,129,131,161,172,203,212,268,212,219,234,237
Provincial governments sector,27,26,30,32,34,36,37,40,37,32,35,26
Provincial research organizations sector,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Business enterprise sector (7),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Higher education sector,1807,1945,2005,1972,2062,2129,2141,2202,2210,2675,2677,2660
Private non-profit sector (6),7,5,11,15,14,10,8,9,5,9,7,6
Foreign sector,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
