Performing sector,Type of payment,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014
Business enterprise,"Total payments (x 1,000,000)",760,705,788,638,752,773,861,965,851,820,956
Higher education,"Total payments (x 1,000,000)",1661,1700,1975,1864,2152,2188,2194,2395,2354,2491,2310
Other performers (3),"Total payments (x 1,000,000)",358,282,202,369,295,234,689,554,299,232,279
