Performing sector,Occupational category,Type of science,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Federal government,Researchers,Social sciences and humanities,370,360,380,430,460,730,810,1230,790,940
Provincial government (3),Researchers,Social sciences and humanities,230,230,260,290,310,340,350,400,420,410
Business enterprise,Researchers,Social sciences and humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Higher education,Researchers,Social sciences and humanities,17740,18880,19700,19990,21610,22270,23920,25720,26170,27550
Private non-profit (4),Researchers,Social sciences and humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
