Major departments and agencies,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016
Agriculture and Agri-Food Canada,252,247,327,359,307,329,363,360,351,422,476,423,402
Atomic Energy of Canada Limited,179,,,289,329,393,470,640,462,491,490,484,540
Canada Foundation for Innovation,365,271,437,367,310,385,392,473,441,563,420,404,405
Industry Canada,375,327,478,372,477,384,737,623,388,418,391,245,172
National Defence,282,296,349,343,307,326,288,337,272,314,323,309,300
Natural Resources Canada,420,378,281,259,276,282,338,469,417,293,305,299,263
